,,,,,,Total of Displayed Rows,,,"145,106,561","691,533","145,798,094","147,609,685","65,462,721","213,072,406","219,868,448","124,897,313","344,765,761",
Account,Account Title,Organization,Budget Activity,Budget Activity Title,Line Number,PE/BLI,Program Element/Budget Line Item (BLI) Title,Include In TOA,FY 2025 Actuals,FY 2025 Reconciliation,FY 2025 Total,FY 2026 Discretionary Enacted,FY 2026 PL 119-21 Spend Plan,FY 2026 Total,FY 2027 Discretionary Request,FY 2027 Mandatory Request,FY 2027 Total,Classification
1319N,"Research, Development, Test and Evaluation, Navy",N,02,Applied research,15,0602861N,Science and Technology Management - ONR Field Acitivities,Y,"100,330",,"100,330","81,423",,"81,423","74,378",,"74,378",U
1319N,"Research, Development, Test and Evaluation, Navy",N,03,Advanced technology development,16,0603123N,Force Protection Advanced Technology,Y,"54,667",,"54,667","113,756","21,800","135,556","50,869",,"50,869",U
1319N,"Research, Development, Test and Evaluation, Navy",N,03,Advanced technology development,17,0603271N,Electromagnetic Systems Advanced Technology,Y,"8,282",,"8,282","14,436",,"14,436","8,635",,"8,635",U
1319N,"Research, Development, Test and Evaluation, Navy",N,03,Advanced technology development,18,0603273N,Science & Technology for Nuclear Re-entry Systems,Y,"115,050",,"115,050","121,618",,"121,618","114,767",,"114,767",U
1319N,"Research, Development, Test and Evaluation, Navy",N,03,Advanced technology development,19,0603640M,USMC Advanced Technology Demonstration (ATD),Y,"287,017",,"287,017","447,950","63,413","511,363","287,897",,"287,897",U
1319N,"Research, Development, Test and Evaluation, Navy",N,03,Advanced technology development,20,0603651M,Joint Non-Lethal Weapons Technology Development,Y,"15,702",,"15,702","6,561",,"6,561","8,727",,"8,727",U
1319N,"Research, Development, Test and Evaluation, Navy",N,03,Advanced technology development,21,0603673N,Future Naval Capabilities Advanced Technology Development,Y,"250,477",,"250,477","523,426",,"523,426","445,977",,"445,977",U
1319N,"Research, Development, Test and Evaluation, Navy",N,03,Advanced technology development,22,0603680N,Manufacturing Technology Program,Y,"61,192",,"61,192","78,065",,"78,065","79,132",,"79,132",U
1319N,"Research, Development, Test and Evaluation, Navy",N,03,Advanced technology development,23,0603729N,Warfighter Protection Advanced Technology,Y,"7,518",,"7,518","31,787",,"31,787",,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,03,Advanced technology development,24,0603758N,Navy Warfighting Experiments and Demonstrations,Y,"133,296",,"133,296","149,980",,"149,980","66,395",,"66,395",U
1319N,"Research, Development, Test and Evaluation, Navy",N,03,Advanced technology development,25,0603782N,Mine and Expeditionary Warfare Advanced Technology,Y,"1,988",,"1,988","2,075",,"2,075",,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,03,Advanced technology development,26,0603801N,Innovative Naval Prototypes (INP) Advanced Technology Development,Y,"138,667",,"138,667",,,,,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,27,0603128N,Unmanned Aerial System,Y,"75,841",,"75,841","28,388",,"28,388","35,706",,"35,706",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,28,0603178N,Large Unmanned Surface Vehicles (LUSV),Y,"45,514",,"45,514",,"57,860","57,860",,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,29,0603207N,Air/Ocean Tactical Applications,Y,"48,819",,"48,819","35,409",,"35,409","76,141",,"76,141",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,30,0603216N,Aviation Survivability,Y,"22,877",,"22,877","24,064",,"24,064","20,010",,"20,010",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,31,0603239N,Naval Construction Forces,Y,"7,563",,"7,563","13,102",,"13,102","7,726",,"7,726",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,32,0603254N,ASW Systems Development,Y,"18,058",,"18,058","33,384",,"33,384","20,070",,"20,070",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,33,0603261N,Tactical Airborne Reconnaissance,Y,"3,358",,"3,358","2,241",,"2,241","3,239",,"3,239",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,34,0603382N,Advanced Combat Systems Technology,Y,"6,817",,"6,817","19,307","39,000","58,307","32,263",,"32,263",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,35,0603502N,Surface and Shallow Water Mine Countermeasures,Y,"28,558",,"28,558","32,359",,"32,359","32,451",,"32,451",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,36,0603506N,Surface Ship Torpedo Defense,Y,"4,632",,"4,632","11,832",,"11,832","9,920",,"9,920",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,37,0603512N,Carrier Systems Development,Y,"5,583",,"5,583","8,361",,"8,361","8,806",,"8,806",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,38,0603525N,PILOT FISH,Y,"937,900",,"937,900","1,118,482",,"1,118,482","1,339,052",,"1,339,052",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,39,0603536N,RETRACT JUNIPER,Y,"197,772",,"197,772","184,606",,"184,606","275,300",,"275,300",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,40,0603542N,Radiological Control,Y,795,,795,730,,730,704,,704,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,41,0603553N,Surface ASW,Y,"1,147",,"1,147",,,,,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,42,0603561N,Undersea Warfare System Development,Y,"103,870",,"103,870","171,718",,"171,718","132,885",,"132,885",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,43,0603562N,Submarine Tactical Warfare Systems,Y,"14,695",,"14,695",,,,,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,44,0603563N,Ship Concept Advanced Design,Y,"95,525",,"95,525","4,823","162,200","167,023","353,893",,"353,893",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,45,0603564N,Ship Preliminary Design & Feasibility Studies,Y,"52,843",,"52,843","100,845","29,200","130,045","666,640",,"666,640",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,46,0603570N,Advanced Nuclear Power Systems,Y,"318,002",,"318,002","343,831",,"343,831","392,426",,"392,426",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,47,0603573N,Advanced Surface Machinery Systems,Y,"80,955",,"80,955","150,330",,"150,330","269,961",,"269,961",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,48,0603576N,CHALK EAGLE,Y,"120,707",,"120,707","142,822","25,000","167,822","149,351",,"149,351",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,49,0603581N,Littoral Combat Ship (LCS),Y,"8,955",,"8,955","10,203",,"10,203","12,576",,"12,576",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,50,0603582N,Combat System Integration,Y,"19,933",,"19,933","19,643",,"19,643","18,819",,"18,819",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,51,0603595N,Ohio Replacement,Y,"188,012",,"188,012","278,305",,"278,305","331,577",,"331,577",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,52,0603596N,LCS Mission Modules,Y,"28,533",,"28,533","39,258",,"39,258","46,239",,"46,239",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,53,0603597N,Automated Test and Re-Test (ATRT),Y,"25,030",,"25,030","29,169",,"29,169","18,070",,"18,070",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,54,0603598N,ATRT Enterprise Rapid Capability,Y,"51,454",,"51,454","116,459",,"116,459","87,585",,"87,585",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,55,0603599N,Frigate Development,Y,"103,211",,"103,211","81,218",,"81,218","212,041",,"212,041",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,56,0603609N,Conventional Munitions,Y,"8,801",,"8,801","10,877",,"10,877","10,216",,"10,216",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,57,0603635M,Marine Corps Ground Combat/Support System,Y,"89,449",,"89,449","222,951","4,750","227,701","521,995",,"521,995",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,58,0603654N,Joint Service Explosive Ordnance Development,Y,"46,263",,"46,263","43,657",,"43,657","43,568",,"43,568",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,59,0603713N,Ocean Engineering Technology Development,Y,"15,430",,"15,430","9,647",,"9,647","15,903",,"15,903",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,60,0603721N,Environmental Protection,Y,"22,796",,"22,796","22,829",,"22,829","19,347",,"19,347",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,61,0603724N,Navy Energy Program,Y,"80,698",,"80,698","58,162","98,372","156,534","59,591",,"59,591",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,62,0603725N,Facilities Improvement,Y,"8,718",,"8,718","10,925",,"10,925","13,738",,"13,738",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,63,0603734N,CHALK CORAL,Y,"829,575",,"829,575","776,792","500,000","1,276,792","995,658",,"995,658",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,64,0603739N,Navy Logistic Productivity,Y,"5,826",,"5,826",977,,977,929,,929,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,65,0603746N,RETRACT MAPLE,Y,"593,506",,"593,506","614,380",,"614,380","655,551",,"655,551",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,66,0603748N,LINK PLUMERIA,Y,"345,553",,"345,553","385,360","90,000","475,360","498,853",,"498,853",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,67,0603751N,RETRACT ELM,Y,"98,939",,"98,939","106,810",,"106,810","87,999",,"87,999",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,68,0603764M,LINK EVERGREEN,Y,"450,729",,"450,729","521,007",,"521,007","593,835",,"593,835",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,69,0603790N,NATO Research and Development,Y,"4,953",,"4,953","5,035",,"5,035","5,513",,"5,513",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,70,0603795N,Land Attack Technology,Y,"1,673",,"1,673","1,056",,"1,056",985,,985,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,71,0603851M,Joint Non-Lethal Weapons Testing,Y,"29,360",,"29,360","9,832",,"9,832","14,152",,"14,152",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,72,0603860N,Joint Precision Approach and Landing Systems - Dem/Val,Y,"3,994",,"3,994","33,978",,"33,978","73,813",,"73,813",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,73,0603889N,Counterdrug RDT&E Projects,Y,,,,,,,"6,500",,"6,500",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,74,0603925N,Directed Energy and Electric Weapon Systems,Y,"19,319",,"19,319","14,480",,"14,480","94,825",,"94,825",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,75,0604014N,F/A -18 Infrared Search and Track (IRST),Y,"8,556",,"8,556",,,,,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,76,0604027N,Digital Warfare Office,Y,"141,844",,"141,844","150,033",,"150,033","182,205",,"182,205",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,77,0604028N,Small and Medium Unmanned Undersea Vehicles,Y,"51,775",,"51,775",,"180,252","180,252","24,598",,"24,598",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,78,0604029N,Unmanned Undersea Vehicle Core Technologies,Y,"111,241",,"111,241",,"124,180","124,180","62,460",,"62,460",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,79,0604030N,"Rapid Prototyping, Experimentation and Demonstration.",Y,"107,754",,"107,754",,,,,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,80,0604031N,Large Unmanned Undersea Vehicles,Y,"6,776",,"6,776",,"360,000","360,000",,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,81,0604112N,Gerald R. Ford Class Nuclear Aircraft Carrier (CVN 78 - 80),Y,"91,597",,"91,597","112,704",,"112,704","111,241",,"111,241",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,82,0604127N,Surface Mine Countermeasures,Y,"13,940",,"13,940","18,504",,"18,504","17,762",,"17,762",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,83,0604272N,Tactical Air Directional Infrared Countermeasures (TADIRCM),Y,"41,438",,"41,438","14,387",,"14,387","14,974",,"14,974",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,84,0604286N,Navy Advanced Manufacturing,Y,,,,,"186,000","186,000","10,016",,"10,016",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,85,0604289M,Next Generation Logistics,Y,"8,058",,"8,058","2,722",,"2,722",24,,24,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,86,0604292N,Future Vertical Lift (Maritime Strike),Y,"4,704",,"4,704","7,125",,"7,125","5,314",,"5,314",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,87,0604295M,Marine Aviation Demonstration/Validation,Y,"54,091",,"54,091","38,873",,"38,873","47,152",,"47,152",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,88,0604320M,Rapid Technology Capability Prototype,Y,"82,173",,"82,173","89,007","18,500","107,507","125,999",,"125,999",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,89,0604454N,LX (R),Y,"9,677",,"9,677","26,709",,"26,709","18,574",,"18,574",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,90,0604536N,Advanced Undersea Prototyping,Y,"20,859",,"20,859","60,480","389,408","449,888","164,512",,"164,512",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,91,0604545N,Advanced Ship Building Industrial Base and Future Ship Experimental,Y,,,,,,,,"1,850,000","1,850,000",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,92,0604636N,Counter Unmanned Aircraft Systems (C-UAS),Y,"15,422",,"15,422","16,689",,"16,689","20,833",,"20,833",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,93,0604659N,Precision Strike Weapons Development Program,Y,"127,295",,"127,295","251,765","89,333","341,098","206,873",,"206,873",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,94,0604707N,Space and Electronic Warfare (SEW) Architecture/Engineering Support,Y,"8,554",,"8,554","6,605",,"6,605","8,657",,"8,657",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,95,0604786N,Offensive Anti-Surface Warfare Weapon Development,Y,"273,393",,"273,393","183,023","118,000","301,023","104,527",,"104,527",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,96,0605512N,MEDIUM UNMANNED SURFACE VEHICLES (MUSVs)),Y,"98,858",,"98,858",,"39,426","39,426",,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,97,0605513N,Unmanned Surface Vehicle Enabling Capabilities,Y,"102,122",,"102,122","24,115","315,330","339,445","255,135",,"255,135",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,98,0605514M,GROUND BASED ANTI-SHIP MISSILE,Y,"48,953",,"48,953","57,965",,"57,965","16,307",,"16,307",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,99,0605516M,LONG RANGE FIRES,Y,"19,934",,"19,934",,,,,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,100,0605518N,CONVENTIONAL PROMPT STRIKE (CPS),Y,"874,781",,"874,781","763,394",,"763,394","1,341,416","451,041","1,792,457",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,101,0105519N,Nuclear-Armed Sea-Launched Cruise Missile (SLCM-N) Support,Y,,,,,"1,677,309","1,677,309",,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,102,0207147M,Collaborative Combat Aircraft,Y,,,,"5,000","270,000","275,000","213,934",,"213,934",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,103,0303260N,Defense Military Deception Initiative,Y,,,,"1,980",,"1,980",,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,104,0303354N,ASW Systems Development - MIP,Y,"7,253",,"7,253","3,864",,"3,864","3,206",,"3,206",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,105,0304240M,Advanced Tactical Unmanned Aircraft System,Y,"3,504",,"3,504","2,822",,"2,822","1,979",,"1,979",U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,106,0304270N,Electronic Warfare Development - MIP,Y,"1,395",,"1,395","1,278",,"1,278",,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,04,Advanced component development and prototypes,107,0304797N,Undersea Artificial Intelligence / Machine Learning (AI/ML),Y,"28,563",,"28,563","29,308",,"29,308","13,563",,"13,563",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,108,0603208N,Training System Aircraft,Y,"25,493",,"25,493","15,101",,"15,101","80,617",,"80,617",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,109,0604038N,Maritime Targeting Cell,Y,"43,301",,"43,301","147,802",,"147,802","216,514",,"216,514",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,110,0604212N,Other Helo Development,Y,,,,987,,987,976,,976,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,111,0604214M,AV-8B Aircraft - Eng Dev,Y,"5,299",,"5,299",,,,,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,112,0604215N,Standards Development,Y,"4,919",,"4,919","4,540",,"4,540","4,399",,"4,399",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,113,0604216N,Multi-Mission Helicopter Upgrade Development,Y,"63,906",,"63,906","114,071",,"114,071","88,855",,"88,855",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,114,0604230N,Warfare Support System,Y,"105,924",,"105,924","15,778","39,300","55,078","73,080",,"73,080",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,115,0604231N,Command and Control Systems,Y,"139,697",,"139,697","64,547",,"64,547","73,534",,"73,534",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,116,0604234N,Advanced Hawkeye,Y,"295,273",,"295,273","350,324",,"350,324","390,260",,"390,260",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,117,0604245M,H-1 Upgrades,Y,"43,732",,"43,732","62,240",,"62,240","66,446",,"66,446",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,118,0604261N,Acoustic Search Sensors,Y,"51,894",,"51,894","52,549",,"52,549","48,875",,"48,875",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,119,0604262N,V-22,Y,"96,469",,"96,469","144,072",,"144,072","252,335",,"252,335",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,120,0604264N,Air Crew Systems Development,Y,"29,180",,"29,180","44,297",,"44,297","21,582",,"21,582",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,121,0604269N,EA-18,Y,"164,122",,"164,122","184,921",,"184,921","131,683",,"131,683",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,122,0604270N,Electronic Warfare Development,Y,"179,572",,"179,572","185,606",,"185,606","168,985",,"168,985",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,123,0604273M,Executive Helo Development,Y,"49,968",,"49,968","74,980",,"74,980","69,438",,"69,438",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,124,0604274N,Next Generation Jammer (NGJ),Y,"74,950",,"74,950","64,167",,"64,167","50,332",,"50,332",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,125,0604280N,Joint Tactical Radio System - Navy (JTRS-Navy),Y,"321,150",,"321,150","330,855",,"330,855","409,318",,"409,318",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,126,0604282N,Next Generation Jammer (NGJ) Increment II,Y,"142,651",,"142,651","215,256",,"215,256","497,011",,"497,011",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,127,0604307N,Surface Combatant Combat System Engineering,Y,"512,559",,"512,559","524,135","65,000","589,135","425,060",,"425,060",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,128,0604329N,Small Diameter Bomb (SDB),Y,"21,234",,"21,234","23,836",,"23,836","64,428",,"64,428",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,129,0604366N,Standard Missile Improvements,Y,"248,688",,"248,688","511,712",,"511,712","539,279",,"539,279",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,130,0604373N,Airborne MCM,Y,"9,422",,"9,422","8,372",,"8,372","8,567",,"8,567",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,131,0604378N,Naval Integrated Fire Control - Counter Air Systems Engineering,Y,"40,618",,"40,618","39,878",,"39,878","42,177",,"42,177",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,132,0604501N,Advanced Above Water Sensors,Y,"108,585",,"108,585","67,881",,"67,881","67,900",,"67,900",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,133,0604503N,Submarine SWFTS Modernization,Y,"94,484",,"94,484","213,804",,"213,804","195,361",,"195,361",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,134,0604504N,Air Control,Y,"60,478",,"60,478","23,930",,"23,930","41,610",,"41,610",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,135,0604512N,Shipboard Aviation Systems,Y,"12,597",,"12,597","33,704",,"33,704","30,970",,"30,970",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,136,0604516N,Ship Survivability,Y,,,,"4,364",,"4,364","7,861",,"7,861",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,137,0604518N,Combat Information Center Conversion,Y,"10,458",,"10,458",,,,,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,138,0604522N,Air and Missile Defense Radar (AMDR) System,Y,"104,171",,"104,171","74,937",,"74,937","96,642",,"96,642",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,139,0604530N,Advanced Arresting Gear (AAG),Y,"10,744",,"10,744","34,933",,"34,933","60,518",,"60,518",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,140,0604558N,New Design SSN,Y,"264,102",,"264,102","255,010",,"255,010","237,103",,"237,103",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,141,0604562N,Submarine Tactical Warfare System,Y,"70,147",,"70,147",,,,,,,U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,142,0604567N,Ship Contract Design/ Live Fire T&E,Y,"13,191",,"13,191","35,634",,"35,634","19,429",,"19,429",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,143,0604574N,Navy Tactical Computer Resources,Y,"3,898",,"3,898","3,552",,"3,552","3,415",,"3,415",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,144,0604601N,Mine Development,Y,"83,393",,"83,393",130,"178,326","178,456","158,666",,"158,666",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,145,0604610N,Lightweight Torpedo Development,Y,"92,266",,"92,266","5,065","88,179","93,244","102,159",,"102,159",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,146,0604654N,Joint Service Explosive Ordnance Development,Y,"8,774",,"8,774","8,740",,"8,740","8,509",,"8,509",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,147,0604657M,USMC Ground Combat/Supporting Arms Systems - Eng Dev,Y,"32,576",,"32,576","17,377",,"17,377","69,478",,"69,478",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,148,0604703N,"Personnel, Training, Simulation, and Human Factors",Y,"9,626",,"9,626","6,703",,"6,703","8,316",,"8,316",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,149,0604727N,Joint Standoff Weapon Systems,Y,"1,510",,"1,510",895,,895,"1,447",,"1,447",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,150,0604755N,Ship Self Defense (Detect & Control),Y,"166,701",,"166,701","167,711",,"167,711","156,167",,"156,167",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,151,0604756N,Ship Self Defense (Engage: Hard Kill),Y,"57,754",,"57,754","145,007","200,000","345,007","296,261",,"296,261",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,152,0604757N,Ship Self Defense (Engage: Soft Kill/EW),Y,"144,970",,"144,970","232,368",,"232,368","196,761",,"196,761",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,153,0604761N,Intelligence Engineering,Y,"23,810",,"23,810","7,023",,"7,023","6,426",,"6,426",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,154,0604771N,Medical Development,Y,"8,110",,"8,110","11,487",,"11,487","6,900",,"6,900",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,155,0604777N,Navigation/ID System,Y,"42,932",,"42,932","3,724",,"3,724","3,388",,"3,388",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,156,0604850N,SSN(X),Y,"327,385",,"327,385","335,987",,"335,987","315,914",,"315,914",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,157,0605013M,Information Technology Development,Y,"14,632",,"14,632","16,000",,"16,000","14,380",,"14,380",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,158,0605013N,Information Technology Development,Y,"333,279",,"333,279","234,102",,"234,102","149,089",,"149,089",U
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,159,0605024N,Anti-Tamper Technology Support,Y,"3,304",,"3,304","3,428",,"3,428","3,459",,"3,459",U
